admin2,indicator,choice,value,context,phase
seno,critical_handwashing_times,avant_manger,0.9808864654250373,bfa_2020,NA
sissili,critical_handwashing_times,avant_manger,1,bfa_2020,NA
soum,critical_handwashing_times,avant_manger,0.975355744574154,bfa_2020,NA
sourou,critical_handwashing_times,avant_manger,0.9821919864811257,bfa_2020,NA
tapoa,critical_handwashing_times,avant_manger,0.9937859993425475,bfa_2020,NA
tuy,critical_handwashing_times,avant_manger,0.9989603563447572,bfa_2020,NA
yagha,critical_handwashing_times,avant_manger,1,bfa_2020,NA
yatenga,critical_handwashing_times,avant_manger,0.9633462721450894,bfa_2020,NA
ziro,critical_handwashing_times,avant_manger,1,bfa_2020,NA
zondoma,critical_handwashing_times,avant_manger,0.9944582171433755,bfa_2020,NA
zoundweogo,critical_handwashing_times,avant_manger,1,bfa_2020,NA
bale,critical_handwashing_times,apres_toilette,0.5568123306844025,bfa_2020,NA
bam,critical_handwashing_times,apres_toilette,0.6387998833445119,bfa_2020,NA
banwa,critical_handwashing_times,apres_toilette,0.5669096110744519,bfa_2020,NA
bazega,critical_handwashing_times,apres_toilette,0.39891623234108076,bfa_2020,NA
bougouriba,critical_handwashing_times,apres_toilette,0.5833333333333334,bfa_2020,NA
boulgou,critical_handwashing_times,apres_toilette,0.4137936940460275,bfa_2020,NA
boulkiemde,critical_handwashing_times,apres_toilette,0.49292974366731046,bfa_2020,NA
comoe,critical_handwashing_times,apres_toilette,0.6575022038098531,bfa_2020,NA
ganzourgou,critical_handwashing_times,apres_toilette,0.45468503366461466,bfa_2020,NA
gnagna,critical_handwashing_times,apres_toilette,0.5932230712154655,bfa_2020,NA
gourma,critical_handwashing_times,apres_toilette,0.6864197874159605,bfa_2020,NA
houet,critical_handwashing_times,apres_toilette,0.6894296387388924,bfa_2020,NA
ioba,critical_handwashing_times,apres_toilette,0.27967005668119543,bfa_2020,NA
kadiogo,critical_handwashing_times,apres_toilette,0.8330238898999599,bfa_2020,NA
kenedougou,critical_handwashing_times,apres_toilette,0.7637221070744136,bfa_2020,NA
komonjdjari,critical_handwashing_times,apres_toilette,0.5920053138906349,bfa_2020,NA
