admin2,semaine,nb_cases_cholera,nb_cases_awd,nb_death_awd,nb_cases_meningitis,nb_cases_malaria,nb_cases_dengues,femme_local,homme_local,total_local,total,total_pdi,weights_adm2,nb_cases_cholera_twoWeeks_mean,nb_cases_awd_twoWeeks_mean,nb_death_awd_twoWeeks_mean,nb_cases_meningitis_twoWeeks_mean,nb_cases_malaria_twoWeeks_mean,nb_cases_dengues_twoWeeks_mean,nb_cases_cholera_per100k,nb_cases_awd_per100k,nb_death_awd_per100k,nb_cases_meningitis_per100k,nb_cases_malaria_per100k,nb_cases_dengues_per100k,nb_cases_cholera_twoWeeks_mean_per100k,nb_cases_awd_twoWeeks_mean_per100k,nb_death_awd_twoWeeks_mean_per100k,nb_cases_meningitis_twoWeeks_mean_per100k,nb_cases_malaria_twoWeeks_mean_per100k,nb_cases_dengues_twoWeeks_mean_per100k
banwa,9,0,0,0,0,88,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,87.5,0,0,0,0,0,22.864031760218662,0,0,0,0,0,22.734122488853785,0
banwa,10,0,0,0,1,82,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,85,0,0,0,0,0.2598185427297576,21.30512050384012,0,0,0,0,0.1299092713648788,22.08457613202939,0
banwa,11,0,0,0,1,63,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,1,72.5,0,0,0,0,0.2598185427297576,16.368568191974727,0,0,0,0,0.2598185427297576,18.836844347907423,0
banwa,12,0,0,0,0,41,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,52,0,0,0,0,0,10.65256025192006,0,0,0,0,0.1299092713648788,13.510564221947392,0
banwa,13,0,0,0,0,54,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,47.5,0,0,0,0,0,14.030201307406907,0,0,0,0,0,12.341380779663481,0
banwa,14,0,0,0,0,52,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,53,0,0,0,0,0,13.510564221947392,0,0,0,0,0,13.77038276467715,0
banwa,15,0,3,0,0,60,0,193560,188930,382490,384884,NA,0.013781534582705786,0,1.5,0,0,56,0,0,0.7794556281892725,0,0,15.589112563785452,0,0,0.38972781409463625,0,0,14.549838392866423,0
banwa,16,0,0,0,0,46,0,193560,188930,382490,384884,NA,0.013781534582705786,0,1.5,0,0,53,0,0,0,0,0,11.951652965568845,0,0,0.38972781409463625,0,0,13.77038276467715,0
banwa,17,0,0,0,0,51,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,48.5,0,0,0,0,0,13.250745679217635,0,0,0,0,0,12.601199322393242,0
banwa,18,0,0,0,0,54,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,52.5,0,0,0,0,0,14.030201307406907,0,0,0,0,0,13.640473493312271,0
banwa,19,0,0,0,1,44,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,49,0,0,0,0,0.2598185427297576,11.432015880109331,0,0,0,0,0.1299092713648788,12.73110859375812,0
banwa,20,0,0,0,0,43,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,43.5,0,0,0,0,0,11.172197337379574,0,0,0,0,0.1299092713648788,11.302106608744452,0
banwa,21,0,0,0,0,48,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,45.5,0,0,0,0,0,12.47129005102836,0,0,0,0,0,11.821743694203967,0
banwa,22,0,0,0,0,42,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,45,0,0,0,0,0,10.912378794649817,0,0,0,0,0,11.691834422839088,0
banwa,23,0,0,0,0,47,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,44.5,0,0,0,0,0,12.211471508298603,0,0,0,0,0,11.56192515147421,0
banwa,24,0,0,0,1,45,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,46,0,0,0,0,0.2598185427297576,11.691834422839088,0,0,0,0,0.1299092713648788,11.951652965568845,0
banwa,25,0,0,0,0,46,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,45.5,0,0,0,0,0,11.951652965568845,0,0,0,0,0.1299092713648788,11.821743694203967,0
banwa,26,0,0,0,0,69,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,57.5,0,0,0,0,0,17.92747944835327,0,0,0,0,0,14.939566206961059,0
banwa,27,0,0,0,1,104,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,86.5,0,0,0,0,0.2598185427297576,27.021128443894785,0,0,0,0,0.1299092713648788,22.474303946124028,0
banwa,28,0,0,0,0,87,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,95.5,0,0,0,0,0,22.604213217488905,0,0,0,0,0.1299092713648788,24.812670830691843,0
banwa,29,0,0,0,1,117,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,102,0,0,0,0,0.2598185427297576,30.398769499381633,0,0,0,0,0.1299092713648788,26.50149135843527,0
banwa,30,0,0,0,0,115,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,116,0,0,0,0,0,29.879132413922118,0,0,0,0,0.1299092713648788,30.138950956651875,0
banwa,31,0,0,0,0,116,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,115.5,0,0,0,0,0,30.138950956651875,0,0,0,0,0,30.009041685286995,0
banwa,32,0,0,0,1,141,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,128.5,0,0,0,0,0.2598185427297576,36.63441452489582,0,0,0,0,0.1299092713648788,33.38668274077384,0
banwa,33,0,0,0,0,203,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0.5,172,0,0,0,0,0,52.74316417414078,0,0,0,0,0.1299092713648788,44.688789349518295,0
banwa,34,0,0,0,0,224,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,213.5,0,0,0,0,0,58.19935357146569,0,0,0,0,0,55.47125887280323,0
banwa,35,0,0,0,0,184,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,204,0,0,0,0,0,47.80661186227538,0,0,0,0,0,53.00298271687054,0
banwa,36,0,0,0,0,213,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,198.5,0,0,0,0,0,55.34134960143835,0,0,0,0,0,51.57398073185687,0
banwa,37,0,0,0,0,259,0,193560,188930,382490,384884,NA,0.013781534582705786,0,0,0,0,236,0,0,0,0,0,67.2930025670072,0,0,0,0,0,61.31717608422278,0
bazega,1,0,0,0,0,46,0,337604,300826,638430,639466,NA,0.022897347755335473,NA,NA,NA,NA,NA,NA,0,0,0,0,7.193502078296579,0,NA,NA,NA,NA,NA,NA
bazega,2,0,0,0,1,55,0,337604,300826,638430,639466,NA,0.022897347755335473,0,0,0,0.5,50.5,0,0,0,0,0.1563804799629691,8.6009263979633,0,0,0,0,0.078190239981484555,7.89721423812994,0
bazega,3,0,0,0,0,55,0,337604,300826,638430,639466,NA,0.022897347755335473,0,0,0,0.5,55,0,0,0,0,0,8.6009263979633,0,0,0,0,0.078190239981484555,8.6009263979633,0
